spinout_id,year,founded,state,intel_ipr,intel_ownership,intel_capital,others_capital,round_cvc,total_cvc,sic,intel_industry,founder_executive,founders_exp,founders_seniority,founders_kn_spec,patents,uspc_classes,claims,backward_citations,forward_citations,human_capital,intel_specific_human_capital,social_capital,intel_specific_social_capital,acquired,closed,founding_team,employees
1558,2009,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1558,2010,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1558,2011,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1558,2012,2007,NY,0,0,0,0,0,0,ND,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,1,1,0
1570,2012,2012,CA,0,0,0,0,0,0,3944,0,1,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1570,2013,2012,CA,0,0,0,0,0,0,3944,0,1,0,3,1,1,,20,19,3,0,0,0,0,0,1,1,0
1571,2013,2013,CA,0,0,0,0,0,0,8711,0,1,0,6,1,0,,0,0,0,0,0,0,0,0,0,1,0
1571,2014,2013,CA,0,0,0,0,0,0,8711,0,1,0,6,1,0,,0,0,0,0,0,0,0,0,0,1,0
1571,2015,2013,CA,0,0,0,0,0,0,8711,0,1,0,6,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2001,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2002,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2003,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2004,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2005,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1592,2006,2001,TN,0,0,0,0,0,0,ND,0,1,0,4,1,0,,0,0,0,0,0,0,0,0,1,1,0
1607,2001,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1607,2002,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1607,2003,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1607,2004,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1607,2005,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,0,1,0
1607,2006,2001,CA,0,0,0,0,0,0,ND,0,0,0,3,1,0,,0,0,0,0,0,0,0,0,1,1,0
1613,2014,2014,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1613,2015,2014,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1614,2013,2013,OR,0,0,0,0,0,0,8748,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1614,2014,2013,OR,0,0,0,0,0,0,8748,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1614,2015,2013,OR,0,0,0,0,0,0,8748,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2006,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2007,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2008,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2009,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2010,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,0,1,0
1626,2011,2006,CA,0,0,0,0,0,0,ND,0,1,0,25,1,0,,0,0,0,0,0,0,0,0,1,1,0
1647,2012,2012,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1647,2013,2012,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
